pit_date,provider,raw_sha256,repeat_match,repeat_seconds,repeat_sha256,state
2025-08-31,massive,095780c9db141ce2e713322e17d29a2d43fff95ca772fd08f942a29a7dc47859,True,133.702163,095780c9db141ce2e713322e17d29a2d43fff95ca772fd08f942a29a7dc47859,active
2025-08-31,massive,01f6e4332110504a8cd9e8741c58ab940ede24a453cd4347c0759e0894ec77b3,True,266.672969,01f6e4332110504a8cd9e8741c58ab940ede24a453cd4347c0759e0894ec77b3,inactive
2025-09-30,massive,9bec7a95688b4ee05787ceac417d6296b9e5028261c5a0b625d5a54cba883733,True,133.544601,9bec7a95688b4ee05787ceac417d6296b9e5028261c5a0b625d5a54cba883733,active
2025-09-30,massive,d74581445d4a53dcd1d498f34a0e245d6be3e7f46ebbbfe69c4ab230e9799a07,True,266.665189,d74581445d4a53dcd1d498f34a0e245d6be3e7f46ebbbfe69c4ab230e9799a07,inactive
2025-10-31,massive,fb42d72e8bcfd13f61125baf86bf614b9da38092fd6c0174718eea52d639bd9f,True,133.666093,fb42d72e8bcfd13f61125baf86bf614b9da38092fd6c0174718eea52d639bd9f,active
2025-10-31,massive,842d386e095c453547db3b495e40c53c76d620608b07892719b2937f9f084b4d,True,266.699815,842d386e095c453547db3b495e40c53c76d620608b07892719b2937f9f084b4d,inactive
2025-11-30,massive,f75ae54adb94d417e3fa9a893985b444f6f7f0d3eb347e5d6879d8360117b173,True,145.499454,f75ae54adb94d417e3fa9a893985b444f6f7f0d3eb347e5d6879d8360117b173,active
2025-11-30,massive,efc07493d138b7378a1fda576a4e98d2b1966a69453399a80e671447bfec2b04,True,266.752473,efc07493d138b7378a1fda576a4e98d2b1966a69453399a80e671447bfec2b04,inactive
2025-12-31,massive,50baa713e82d2513652115a348fdf3669df89deea870d04441f11ea26e7254fe,True,145.589044,50baa713e82d2513652115a348fdf3669df89deea870d04441f11ea26e7254fe,active
2025-12-31,massive,f625b4b6f8ee05d20da89d27da0d7b0b750aef2af4849de60ee05a59aff3500f,True,266.694112,f625b4b6f8ee05d20da89d27da0d7b0b750aef2af4849de60ee05a59aff3500f,inactive
2026-01-31,massive,0666c2dc776cf3b85a25a23e45bf0f6f1059ba8e53b61f010d56d81d65e5bf86,True,145.532929,0666c2dc776cf3b85a25a23e45bf0f6f1059ba8e53b61f010d56d81d65e5bf86,active
2026-01-31,massive,496b3b8acca52f67cf548bfab2bea1b549a37ba308e18c8ebef3f06a3421a1d7,True,267.372921,496b3b8acca52f67cf548bfab2bea1b549a37ba308e18c8ebef3f06a3421a1d7,inactive
2026-02-28,massive,6b4544947127065e5ac599350af759f8cffb81ef2b76c6b960b9640784c09546,True,145.689565,6b4544947127065e5ac599350af759f8cffb81ef2b76c6b960b9640784c09546,active
2026-02-28,massive,2ce5a7134bc1a3db909bc82520a6ea0b9cbe0c0089c22ad9e3b652b0d50f5ef8,True,266.638851,2ce5a7134bc1a3db909bc82520a6ea0b9cbe0c0089c22ad9e3b652b0d50f5ef8,inactive
2026-03-31,massive,772333f7ab2a21f3abcea62cc223b878a4e2844fd8912309ea344a31841e2d65,True,145.675361,772333f7ab2a21f3abcea62cc223b878a4e2844fd8912309ea344a31841e2d65,active
2026-03-31,massive,5ff96d6a8cbe6b1d377fa373da518cb55de366faba668d21cd896a1fa95bb0fa,True,266.844822,5ff96d6a8cbe6b1d377fa373da518cb55de366faba668d21cd896a1fa95bb0fa,inactive
2026-04-30,massive,3408fed6b3406a0e93de0d0cb23ad91f591c1887a197fcffdfc5d8e77301810a,True,145.602809,3408fed6b3406a0e93de0d0cb23ad91f591c1887a197fcffdfc5d8e77301810a,active
2026-04-30,massive,346b2dfe75469b1134c4d0565e5c309c347e4a79c98e40969dcd7b9aa22fefc2,True,278.653475,346b2dfe75469b1134c4d0565e5c309c347e4a79c98e40969dcd7b9aa22fefc2,inactive
2026-05-31,massive,a59c2d4990e84628e9644c04df80e1b8cf43d26cf84577cbc7bffd11f8269b45,True,145.601487,a59c2d4990e84628e9644c04df80e1b8cf43d26cf84577cbc7bffd11f8269b45,active
2026-05-31,massive,ef84ebd46589da58a443cfaa4be08f820b1c1da318f4f14611c322aca30ff1eb,True,278.600713,ef84ebd46589da58a443cfaa4be08f820b1c1da318f4f14611c322aca30ff1eb,inactive
2026-06-30,massive,557782ad98e58d724878628b420f14bce29762bbcaaf93a446c894fe61da10f7,True,145.672768,557782ad98e58d724878628b420f14bce29762bbcaaf93a446c894fe61da10f7,active
2026-06-30,massive,ed6034bf0d1f84d4551fb945cb1b5c1955c2663643df8c86dd25a8b848429157,True,278.719114,ed6034bf0d1f84d4551fb945cb1b5c1955c2663643df8c86dd25a8b848429157,inactive
2026-07-31,massive,eaf3fd2c8f04646de2cab228446deb2be2b7a3378ebf0e31e6648b07082ac00d,True,157.658904,eaf3fd2c8f04646de2cab228446deb2be2b7a3378ebf0e31e6648b07082ac00d,active
2026-07-31,massive,327886cdbe6a35b171e15273de649fd9f88463833d9149330e26dd6426d4c215,True,278.729825,327886cdbe6a35b171e15273de649fd9f88463833d9149330e26dd6426d4c215,inactive
